transaction_id,transaction_date,year,month,month_name,day,day_name,transaction_time,hour,time_of_day,transaction_qty,store_id,store_location,product_id,product_category,product_type,product_detail,unit_price,revenue,Day_classification
11,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:43:05.000Z,7,Morning,1,5,Lower Manhattan,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,2.55,Weekend
12,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:44:35.000Z,7,Morning,2,5,Lower Manhattan,33,Coffee,Gourmet brewed coffee,Ethiopia Lg,3.5,7,Weekend
13,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:45:51.000Z,7,Morning,1,5,Lower Manhattan,51,Tea,Brewed Black tea,Earl Grey Lg,3,3,Weekend
14,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:48:19.000Z,7,Morning,1,5,Lower Manhattan,57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,3.1,Weekend
15,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:52:36.000Z,7,Morning,2,5,Lower Manhattan,87,Coffee,Barista Espresso,Ouro Brasileiro shot,3,6,Weekend
16,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:59:58.000Z,7,Morning,2,5,Lower Manhattan,47,Tea,Brewed Green tea,Serenity Green Tea Lg,3,6,Weekend
17,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:59:58.000Z,7,Morning,1,5,Lower Manhattan,79,Bakery,Scone,Jumbo Savory Scone,3.75,3.75,Weekend
18,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:00:18.000Z,8,Morning,1,8,Hell's Kitchen,42,Tea,Brewed herbal tea,Lemon Grass Rg,2.5,2.5,Weekend
19,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:00:39.000Z,8,Morning,2,8,Hell's Kitchen,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,9,Weekend
20,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:11:45.000Z,8,Morning,1,8,Hell's Kitchen,61,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75,4.75,Weekend
21,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:17:27.000Z,8,Morning,2,8,Hell's Kitchen,33,Coffee,Gourmet brewed coffee,Ethiopia Lg,3.5,7,Weekend
22,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:24:26.000Z,8,Morning,2,5,Lower Manhattan,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,5.1,Weekend
23,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:24:26.000Z,8,Morning,1,5,Lower Manhattan,69,Bakery,Biscotti,Hazelnut Biscotti,3.25,3.25,Weekend
24,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:29:38.000Z,8,Morning,1,8,Hell's Kitchen,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,2.55,Weekend
25,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:31:23.000Z,8,Morning,1,8,Hell's Kitchen,40,Coffee,Barista Espresso,Cappuccino,3.75,3.75,Weekend
26,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:33:08.000Z,8,Morning,1,5,Lower Manhattan,43,Tea,Brewed herbal tea,Lemon Grass Lg,3,3,Weekend
27,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:33:08.000Z,8,Morning,1,5,Lower Manhattan,76,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,3.5,Weekend
28,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:35:03.000Z,8,Morning,2,5,Lower Manhattan,45,Tea,Brewed herbal tea,Peppermint Lg,3,6,Weekend
29,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:35:03.000Z,8,Morning,1,5,Lower Manhattan,71,Bakery,Pastry,Chocolate Croissant,3.75,3.75,Weekend
30,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:41:57.000Z,8,Morning,2,8,Hell's Kitchen,40,Coffee,Barista Espresso,Cappuccino,3.75,7.5,Weekend
31,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:52:03.000Z,8,Morning,1,8,Hell's Kitchen,38,Coffee,Barista Espresso,Latte,3.75,3.75,Weekend
32,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:52:32.000Z,8,Morning,1,5,Lower Manhattan,26,Coffee,Organic brewed coffee,Brazilian Rg,3,3,Weekend
33,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:54:33.000Z,8,Morning,2,5,Lower Manhattan,27,Coffee,Organic brewed coffee,Brazilian Lg,3.5,7,Weekend
34,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:56:27.000Z,8,Morning,2,5,Lower Manhattan,29,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2.5,5,Weekend
35,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:57:46.000Z,8,Morning,1,8,Hell's Kitchen,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,2.5,Weekend
36,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T08:58:55.000Z,8,Morning,1,5,Lower Manhattan,26,Coffee,Organic brewed coffee,Brazilian Rg,3,3,Weekend
37,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:00:12.000Z,9,Morning,1,5,Lower Manhattan,55,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,4,4,Weekend
38,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:00:24.000Z,9,Morning,2,8,Hell's Kitchen,40,Coffee,Barista Espresso,Cappuccino,3.75,7.5,Weekend
39,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:07:13.000Z,9,Morning,1,8,Hell's Kitchen,45,Tea,Brewed herbal tea,Peppermint Lg,3,3,Weekend
40,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:08:09.000Z,9,Morning,2,8,Hell's Kitchen,45,Tea,Brewed herbal tea,Peppermint Lg,3,6,Weekend
41,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:08:13.000Z,9,Morning,1,8,Hell's Kitchen,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,3,Weekend
42,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:10:30.000Z,9,Morning,2,5,Lower Manhattan,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,7.5,Weekend
43,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:10:30.000Z,9,Morning,1,5,Lower Manhattan,78,Bakery,Scone,Scottish Cream Scone ,4.5,4.5,Weekend
44,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:11:06.000Z,9,Morning,1,5,Lower Manhattan,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,2.55,Weekend
45,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:11:06.000Z,9,Morning,1,5,Lower Manhattan,77,Bakery,Scone,Oatmeal Scone,3,3,Weekend
46,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:13:01.000Z,9,Morning,1,5,Lower Manhattan,44,Tea,Brewed herbal tea,Peppermint Rg,2.5,2.5,Weekend
47,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:13:15.000Z,9,Morning,2,5,Lower Manhattan,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,5.1,Weekend
48,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:14:16.000Z,9,Morning,1,5,Lower Manhattan,48,Tea,Brewed Black tea,English Breakfast Rg,2.5,2.5,Weekend
49,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:14:17.000Z,9,Morning,1,8,Hell's Kitchen,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,2.5,Weekend
50,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:14:25.000Z,9,Morning,1,8,Hell's Kitchen,46,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,2.5,Weekend
51,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:14:41.000Z,9,Morning,1,8,Hell's Kitchen,32,Coffee,Gourmet brewed coffee,Ethiopia Rg,3,3,Weekend
52,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:15:09.000Z,9,Morning,2,5,Lower Manhattan,47,Tea,Brewed Green tea,Serenity Green Tea Lg,3,6,Weekend
53,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:15:13.000Z,9,Morning,2,5,Lower Manhattan,43,Tea,Brewed herbal tea,Lemon Grass Lg,3,6,Weekend
54,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:19:21.000Z,9,Morning,2,5,Lower Manhattan,25,Coffee,Organic brewed coffee,Brazilian Sm,2.2,4.4,Weekend
55,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:19:26.000Z,9,Morning,1,8,Hell's Kitchen,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,4.5,Weekend
56,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:21:08.000Z,9,Morning,1,5,Lower Manhattan,38,Coffee,Barista Espresso,Latte,3.75,3.75,Weekend
57,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:22:17.000Z,9,Morning,1,8,Hell's Kitchen,45,Tea,Brewed herbal tea,Peppermint Lg,3,3,Weekend
58,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:22:46.000Z,9,Morning,1,5,Lower Manhattan,34,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,2.45,2.45,Weekend
59,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:29:56.000Z,9,Morning,2,8,Hell's Kitchen,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75,7.5,Weekend
60,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:29:56.000Z,9,Morning,1,8,Hell's Kitchen,74,Bakery,Biscotti,Ginger Biscotti,3.5,3.5,Weekend
61,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:29:57.000Z,9,Morning,1,8,Hell's Kitchen,53,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3,3,Weekend
62,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:34:17.000Z,9,Morning,2,8,Hell's Kitchen,41,Coffee,Barista Espresso,Cappuccino Lg,4.25,8.5,Weekend
63,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:40:13.000Z,9,Morning,1,5,Lower Manhattan,41,Coffee,Barista Espresso,Cappuccino Lg,4.25,4.25,Weekend
64,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:41:22.000Z,9,Morning,2,5,Lower Manhattan,45,Tea,Brewed herbal tea,Peppermint Lg,3,6,Weekend
65,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:41:22.000Z,9,Morning,1,5,Lower Manhattan,79,Bakery,Scone,Jumbo Savory Scone,3.75,3.75,Weekend
66,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:44:20.000Z,9,Morning,2,5,Lower Manhattan,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,5,Weekend
67,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:44:46.000Z,9,Morning,1,5,Lower Manhattan,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,3,Weekend
68,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:46:46.000Z,9,Morning,2,5,Lower Manhattan,37,Coffee,Barista Espresso,Espresso shot,3,6,Weekend
69,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:47:40.000Z,9,Morning,2,8,Hell's Kitchen,40,Coffee,Barista Espresso,Cappuccino,3.75,7.5,Weekend
70,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:50:44.000Z,9,Morning,2,5,Lower Manhattan,37,Coffee,Barista Espresso,Espresso shot,3,6,Weekend
71,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:50:44.000Z,9,Morning,1,5,Lower Manhattan,69,Bakery,Biscotti,Hazelnut Biscotti,3.25,3.25,Weekend
72,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:52:58.000Z,9,Morning,1,5,Lower Manhattan,50,Tea,Brewed Black tea,Earl Grey Rg,2.5,2.5,Weekend
73,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:53:28.000Z,9,Morning,1,8,Hell's Kitchen,47,Tea,Brewed Green tea,Serenity Green Tea Lg,3,3,Weekend
74,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:53:44.000Z,9,Morning,2,8,Hell's Kitchen,40,Coffee,Barista Espresso,Cappuccino,3.75,7.5,Weekend
75,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:53:44.000Z,9,Morning,1,8,Hell's Kitchen,72,Bakery,Scone,Ginger Scone,3.25,3.25,Weekend
76,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:53:49.000Z,9,Morning,1,8,Hell's Kitchen,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,3.1,Weekend
77,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:54:46.000Z,9,Morning,1,5,Lower Manhattan,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,2.5,Weekend
78,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:55:16.000Z,9,Morning,2,5,Lower Manhattan,43,Tea,Brewed herbal tea,Lemon Grass Lg,3,6,Weekend
79,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T09:56:30.000Z,9,Morning,1,8,Hell's Kitchen,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,2,Weekend
80,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:00:39.000Z,10,Morning,2,8,Hell's Kitchen,32,Coffee,Gourmet brewed coffee,Ethiopia Rg,3,6,Weekend
81,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:03:55.000Z,10,Morning,2,8,Hell's Kitchen,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75,7.5,Weekend
82,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:14:49.000Z,10,Morning,1,5,Lower Manhattan,26,Coffee,Organic brewed coffee,Brazilian Rg,3,3,Weekend
83,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:14:49.000Z,10,Morning,1,5,Lower Manhattan,71,Bakery,Pastry,Chocolate Croissant,3.75,3.75,Weekend
84,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:16:30.000Z,10,Morning,2,5,Lower Manhattan,32,Coffee,Gourmet brewed coffee,Ethiopia Rg,3,6,Weekend
85,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:16:33.000Z,10,Morning,1,8,Hell's Kitchen,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,2.5,Weekend
86,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:18:14.000Z,10,Morning,2,8,Hell's Kitchen,41,Coffee,Barista Espresso,Cappuccino Lg,4.25,8.5,Weekend
87,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:18:52.000Z,10,Morning,2,5,Lower Manhattan,25,Coffee,Organic brewed coffee,Brazilian Sm,2.2,4.4,Weekend
88,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:19:42.000Z,10,Morning,2,5,Lower Manhattan,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,5,Weekend
89,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:24:19.000Z,10,Morning,1,8,Hell's Kitchen,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,2.5,Weekend
90,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:25:22.000Z,10,Morning,2,8,Hell's Kitchen,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,5.1,Weekend
91,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:25:45.000Z,10,Morning,2,5,Lower Manhattan,58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,3.5,7,Weekend
92,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:25:45.000Z,10,Morning,1,5,Lower Manhattan,74,Bakery,Biscotti,Ginger Biscotti,3.5,3.5,Weekend
93,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:27:48.000Z,10,Morning,2,8,Hell's Kitchen,47,Tea,Brewed Green tea,Serenity Green Tea Lg,3,6,Weekend
94,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:30:07.000Z,10,Morning,1,5,Lower Manhattan,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,3.1,Weekend
95,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:30:07.000Z,10,Morning,1,5,Lower Manhattan,70,Bakery,Scone,Cranberry Scone,3.25,3.25,Weekend
96,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:35:47.000Z,10,Morning,1,8,Hell's Kitchen,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,3.75,Weekend
97,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:41:53.000Z,10,Morning,1,5,Lower Manhattan,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,4.5,Weekend
98,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:47:53.000Z,10,Morning,2,5,Lower Manhattan,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75,7.5,Weekend
99,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:49:13.000Z,10,Morning,2,8,Hell's Kitchen,51,Tea,Brewed Black tea,Earl Grey Lg,3,6,Weekend
100,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:49:51.000Z,10,Morning,2,5,Lower Manhattan,61,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75,9.5,Weekend
101,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:51:17.000Z,10,Morning,1,5,Lower Manhattan,47,Tea,Brewed Green tea,Serenity Green Tea Lg,3,3,Weekend
102,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:52:44.000Z,10,Morning,2,8,Hell's Kitchen,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,5,Weekend
103,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:52:44.000Z,10,Morning,1,8,Hell's Kitchen,73,Bakery,Pastry,Almond Croissant,3.75,3.75,Weekend
104,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:56:14.000Z,10,Morning,1,5,Lower Manhattan,38,Coffee,Barista Espresso,Latte,3.75,3.75,Weekend
105,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T10:56:14.000Z,10,Morning,1,5,Lower Manhattan,76,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,3.5,Weekend
106,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:01:48.000Z,11,Morning,1,3,Astoria,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,2,Weekend
107,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:01:58.000Z,11,Morning,1,3,Astoria,38,Coffee,Barista Espresso,Latte,3.75,3.75,Weekend
108,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:01:58.000Z,11,Morning,1,3,Astoria,75,Bakery,Pastry,Croissant,3.5,3.5,Weekend
109,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:03:25.000Z,11,Morning,2,5,Lower Manhattan,47,Tea,Brewed Green tea,Serenity Green Tea Lg,3,6,Weekend
110,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:03:25.000Z,11,Morning,1,5,Lower Manhattan,75,Bakery,Pastry,Croissant,3.5,3.5,Weekend
111,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:04:32.000Z,11,Morning,2,8,Hell's Kitchen,39,Coffee,Barista Espresso,Latte Rg,4.25,8.5,Weekend
112,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:08:11.000Z,11,Morning,1,3,Astoria,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,4.5,Weekend
113,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:08:59.000Z,11,Morning,2,8,Hell's Kitchen,51,Tea,Brewed Black tea,Earl Grey Lg,3,6,Weekend
114,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:09:01.000Z,11,Morning,1,3,Astoria,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,4.5,Weekend
115,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:10:21.000Z,11,Morning,1,3,Astoria,47,Tea,Brewed Green tea,Serenity Green Tea Lg,3,3,Weekend
116,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:10:21.000Z,11,Morning,1,3,Astoria,79,Bakery,Scone,Jumbo Savory Scone,3.75,3.75,Weekend
117,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:10:58.000Z,11,Morning,1,3,Astoria,46,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,2.5,Weekend
118,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:12:29.000Z,11,Morning,1,3,Astoria,43,Tea,Brewed herbal tea,Lemon Grass Lg,3,3,Weekend
119,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:16:02.000Z,11,Morning,2,3,Astoria,45,Tea,Brewed herbal tea,Peppermint Lg,3,6,Weekend
120,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:21:00.000Z,11,Morning,2,8,Hell's Kitchen,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,5,Weekend
121,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:21:04.000Z,11,Morning,2,5,Lower Manhattan,51,Tea,Brewed Black tea,Earl Grey Lg,3,6,Weekend
122,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:21:14.000Z,11,Morning,1,3,Astoria,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,3.75,Weekend
123,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:23:01.000Z,11,Morning,1,8,Hell's Kitchen,31,Coffee,Gourmet brewed coffee,Ethiopia Sm,2.2,2.2,Weekend
124,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:23:43.000Z,11,Morning,2,5,Lower Manhattan,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,7.5,Weekend
125,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:23:43.000Z,11,Morning,1,5,Lower Manhattan,77,Bakery,Scone,Oatmeal Scone,3,3,Weekend
126,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:25:35.000Z,11,Morning,2,3,Astoria,49,Tea,Brewed Black tea,English Breakfast Lg,3,6,Weekend
127,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:25:37.000Z,11,Morning,2,5,Lower Manhattan,40,Coffee,Barista Espresso,Cappuccino,3.75,7.5,Weekend
128,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:28:15.000Z,11,Morning,2,8,Hell's Kitchen,44,Tea,Brewed herbal tea,Peppermint Rg,2.5,5,Weekend
129,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:28:29.000Z,11,Morning,2,3,Astoria,33,Coffee,Gourmet brewed coffee,Ethiopia Lg,3.5,7,Weekend
130,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:29:25.000Z,11,Morning,2,5,Lower Manhattan,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,5.1,Weekend
131,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:29:57.000Z,11,Morning,2,8,Hell's Kitchen,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,6.2,Weekend
132,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:29:57.000Z,11,Morning,1,8,Hell's Kitchen,78,Bakery,Scone,Scottish Cream Scone ,4.5,4.5,Weekend
133,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:30:22.000Z,11,Morning,1,8,Hell's Kitchen,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,2.5,Weekend
134,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:31:35.000Z,11,Morning,1,8,Hell's Kitchen,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,3,Weekend
135,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:31:43.000Z,11,Morning,2,5,Lower Manhattan,51,Tea,Brewed Black tea,Earl Grey Lg,3,6,Weekend
136,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:31:43.000Z,11,Morning,1,5,Lower Manhattan,72,Bakery,Scone,Ginger Scone,3.25,3.25,Weekend
137,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:31:53.000Z,11,Morning,2,5,Lower Manhattan,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,5,Weekend
138,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:31:53.000Z,11,Morning,1,5,Lower Manhattan,75,Bakery,Pastry,Croissant,3.5,3.5,Weekend
139,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:39:14.000Z,11,Morning,1,5,Lower Manhattan,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,3.75,Weekend
140,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T11:39:14.000Z,11,Morning,1,5,Lower Manhattan,71,Bakery,Pastry,Chocolate Croissant,3.75,3.75,Weekend
